Name
Battlefield
Final Destination
3D Land
Golden Plains
Rainbow Road
Paper Mario
Super Mario Maker
Peach's Castle (64)
Mushroomy Kingdom
Yoshi's Island
Jungle Japes
Gerudo Valley
Spirit Train
Hyrule Castle (64)
Brinstar
Dream Land
Dream Land (64)
Corneria
Unova Pokémon League
Prism Tower
Mute City
Magicant
Arena Ferox
Flat Zone 2
Reset Bomb Forest
WarioWare, Inc.
Distant Planet
Tortimer Island
Boxing Ring
Gaur Plain
Duck Hunt
Balloon Fight
Living Room
Find Mii
Tomodachi Life
PictoChat 2
Green Hill Zone
Wily Castle
Pac-Maze
Suzaku Castle
Midgar
Umbra Clock Tower
